Unloaded Date,Unloaded Timestamp,Warehouse Id,Shipment Id,Business Owner,ASIN,Order Id,Unloaded Quantity,PO Quantity
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S444HD,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S42XTD,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S421HD,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3VJYQ,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3V42F,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3TYH9,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3RRBV,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3RBJM,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3QMJM,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3QFCH,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3PBTD,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3N9B7,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3M7NF,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3LTBR,7JQA8HDW,1,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3JTPG,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3C4PZ,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S3B3SP,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S393XF,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S353MZ,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S33DFR,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S32GFZ,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S31KX7,7JQA8HDW,5,5
